plot id,#pixels,NDVI,<0.0,0.0 - 0.1,0.1 - 0.2,0.2 - 0.3,0.3 - 0.4,0.4 - 0.5,0.5 - 0.6,0.6 - 0.7,0.7 - 0.8,0.8 - 0.9,0.9 - 1.0
71,20707,0.16721688,0,1767,13624,5265,51,0,0,0,0,0,0
72,20710,0.19380398,4,630,11103,8458,494,21,0,0,0,0,0
73,20711,0.18904826,0,1410,10596,7918,783,4,0,0,0,0,0
74,20707,0.20354125,6,622,8950,10469,649,11,0,0,0,0,0
75,20708,0.19230413,0,655,11014,8653,386,0,0,0,0,0,0
76,20713,0.16640948,0,1486,14279,4839,108,1,0,0,0,0,0
77,20710,0.16942921,2,1122,14298,5265,23,0,0,0,0,0,0
78,20706,0.228634,0,134,5118,14283,1139,32,0,0,0,0,0
79,20713,0.18251641,0,425,13533,6708,47,0,0,0,0,0,0
80,20707,0.16088699,3,1278,16276,3146,4,0,0,0,0,0,0
81,20711,0.2030001,0,360,9779,10057,513,2,0,0,0,0,0
82,20702,0.23218729,2,54,4977,14242,1424,3,0,0,0,0,0
83,20706,0.18600984,5,1237,11014,8181,269,0,0,0,0,0,0
84,20711,0.24521285,0,61,4023,13439,3150,38,0,0,0,0,0
85,20711,0.17235467,2,952,14595,4963,192,7,0,0,0,0,0
86,20710,0.18107523,0,1201,12561,6302,590,56,0,0,0,0,0
87,20711,0.16964644,0,1269,14098,5325,19,0,0,0,0,0,0
88,20705,0.2127433,0,315,8857,10103,1225,150,52,3,0,0,0
89,20711,0.23993506,0,124,5397,11850,3172,166,2,0,0,0,0
90,20708,0.20210297,0,391,10018,9450,849,0,0,0,0,0,0
91,20705,0.21515453,0,145,8353,10828,1348,31,0,0,0,0,0
92,20705,0.20439884,0,402,9430,10032,840,1,0,0,0,0,0
93,20708,0.2000068,0,499,10311,9177,614,71,36,0,0,0,0
94,20712,0.2121525,0,178,8409,11057,1052,16,0,0,0,0,0
95,20704,0.1750339,1,2035,11951,6179,533,5,0,0,0,0,0
96,20704,0.17892554,0,1380,12376,6691,166,46,44,1,0,0,0
97,20703,0.19157717,2,548,11171,8783,199,0,0,0,0,0,0
98,20713,0.18932861,0,1532,10810,7324,887,58,44,58,0,0,0
99,20708,0.23052421,0,72,5899,12719,2006,12,0,0,0,0,0
100,20705,0.19312645,0,1064,10549,8163,901,27,1,0,0,0,0
101,20704,0.21851929,0,325,7953,10401,1919,106,0,0,0,0,0
102,20706,0.23881297,0,67,5734,11648,3112,138,7,0,0,0,0
103,20705,0.20871341,0,730,8446,10061,1466,2,0,0,0,0,0
104,20708,0.20039074,0,210,10629,9262,605,2,0,0,0,0,0
105,20709,0.22778735,0,50,5484,14072,1091,12,0,0,0,0,0
106,20713,0.19076674,0,1075,10650,8412,576,0,0,0,0,0,0
107,20711,0.18205209,0,1613,11433,7128,537,0,0,0,0,0,0
108,20711,0.19045176,1,880,10970,8507,353,0,0,0,0,0,0
109,20708,0.24762164,6,124,4124,12933,3031,462,28,0,0,0,0
110,20708,0.25379655,0,45,3946,13058,2612,770,257,20,0,0,0
111,20713,0.1887124,0,1450,10516,7801,908,36,2,0,0,0,0
112,20707,0.2057185,0,392,9334,10078,866,37,0,0,0,0,0
113,20708,0.21583508,2,371,7367,11932,1035,1,0,0,0,0,0
114,20703,0.2346107,0,53,4472,14695,1478,5,0,0,0,0,0
115,20707,0.22677468,0,185,6206,12582,1712,22,0,0,0,0,0
116,20708,0.19548935,0,807,10608,8385,895,13,0,0,0,0,0
117,20708,0.20861644,0,213,8765,11184,546,0,0,0,0,0,0
118,20708,0.23020692,0,83,5604,13417,1312,224,67,1,0,0,0
119,20707,0.21442841,0,236,7576,12145,746,4,0,0,0,0,0
120,20711,0.19278827,0,590,10810,8979,332,0,0,0,0,0,0
121,20713,0.2300241,0,315,5839,12276,2279,4,0,0,0,0,0
122,20703,0.18571304,4,1283,10911,8221,284,0,0,0,0,0,0
123,20706,0.18195967,0,1880,11011,7248,567,0,0,0,0,0,0
124,20711,0.2052917,0,413,9690,9510,1021,42,25,10,0,0,0
125,20712,0.24521618,0,105,4342,12973,3125,159,8,0,0,0,0
126,20709,0.18214333,0,1343,11451,7713,202,0,0,0,0,0,0
127,20710,0.21477301,0,80,7486,12535,606,3,0,0,0,0,0
128,20705,0.17991734,1,1496,11838,6957,397,16,0,0,0,0,0
129,20709,0.19929859,2,1403,9145,8756,1348,43,12,0,0,0,0
130,20711,0.20831515,0,740,8592,9932,1444,3,0,0,0,0,0
131,20704,0.19971444,0,1103,9093,9662,846,0,0,0,0,0,0
132,20708,0.19684416,0,886,10091,8977,674,72,8,0,0,0,0
133,20708,0.18675925,0,1074,11445,7633,556,0,0,0,0,0,0
134,20708,0.18530451,0,1708,10335,8356,309,0,0,0,0,0,0
135,20707,0.1903188,5,1496,10126,8377,699,4,0,0,0,0,0
136,20704,0.17075723,0,2577,11464,6365,294,4,0,0,0,0,0
137,20704,0.23403504,0,219,6568,10155,3734,28,0,0,0,0,0
138,20710,0.21322507,0,769,8222,9620,2040,49,10,0,0,0,0
139,20708,0.21161835,0,816,8245,9774,1854,19,0,0,0,0,0
140,20708,0.20550916,0,807,9171,9121,1599,10,0,0,0,0,0
141,20704,0.21253875,0,485,8720,9647,1841,11,0,0,0,0,0
142,20702,0.21447384,1,588,7870,10610,1632,1,0,0,0,0,0
143,20705,0.20723991,0,915,8385,9926,1479,0,0,0,0,0,0
144,20712,0.19346716,1,1552,9945,7895,1205,112,2,0,0,0,0
145,20706,0.20021147,0,942,10370,7352,1889,153,0,0,0,0,0
146,20705,0.19819325,0,616,10518,8439,1100,32,0,0,0,0,0
147,20706,0.1843163,0,1172,11904,6790,820,20,0,0,0,0,0
148,20700,0.17912804,0,1306,12428,6593,359,14,0,0,0,0,0
149,20705,0.17196925,0,1631,13030,5860,184,0,0,0,0,0,0
150,20703,0.16639219,0,2447,12519,5541,182,14,0,0,0,0,0
151,20710,0.1938694,0,1074,10334,8377,821,98,6,0,0,0,0
